11-19 02:07:35.907 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 16, Focusval 762401920.000000, LensPosition 367, H1 1515009536.000000, H2 0.000000, V 9794350.000000, HV 762401920.000000, H1_norm 1798736.750000, H2_norm 0.000000, V_norm 7838.343750, HV_norm 903287.562500
11-19 02:07:36.071 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 17, Focusval 761477504.000000, LensPosition 365, H1 1513156992.000000, H2 0.000000, V 9797960.000000, HV 761477504.000000, H1_norm 1798146.875000, H2_norm 0.000000, V_norm 7867.868652, HV_norm 903007.375000
11-19 02:07:36.239 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 18, Focusval 763040512.000000, LensPosition 363, H1 1516343680.000000, H2 0.000000, V 9737390.000000, HV 763040512.000000, H1_norm 1805042.250000, H2_norm 0.000000, V_norm 7797.509766, HV_norm 906419.875000
11-19 02:07:36.409 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 19, Focusval 764590656.000000, LensPosition 361, H1 1519340032.000000, H2 0.000000, V 9841320.000000, HV 764590656.000000, H1_norm 1806672.000000, H2_norm 0.000000, V_norm 7867.959473, HV_norm 907270.000000
11-19 02:07:36.573 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 20, Focusval 765794368.000000, LensPosition 359, H1 1521942144.000000, H2 0.000000, V 9646570.000000, HV 765794368.000000, H1_norm 1809660.750000, H2_norm 0.000000, V_norm 7701.804688, HV_norm 908681.250000
11-19 02:07:36.740 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 21, Focusval 767896704.000000, LensPosition 357, H1 1526101504.000000, H2 0.000000, V 9691840.000000, HV 767896704.000000, H1_norm 1817546.500000, H2_norm 0.000000, V_norm 7786.171875, HV_norm 912666.312500
11-19 02:07:36.908 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 22, Focusval 768101248.000000, LensPosition 355, H1 1526507008.000000, H2 0.000000, V 9695550.000000, HV 768101248.000000, H1_norm 1818918.750000, H2_norm 0.000000, V_norm 7803.808105, HV_norm 913361.250000
11-19 02:07:37.076 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 23, Focusval 767813696.000000, LensPosition 353, H1 1525992320.000000, H2 0.000000, V 9635070.000000, HV 767813696.000000, H1_norm 1819288.250000, H2_norm 0.000000, V_norm 7726.950684, HV_norm 913507.625000
11-19 02:07:37.241 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 24, Focusval 762326208.000000, LensPosition 351, H1 1514962560.000000, H2 0.000000, V 9689810.000000, HV 762326208.000000, H1_norm 1806064.750000, H2_norm 0.000000, V_norm 7765.970215, HV_norm 906915.375000
11-19 02:07:37.410 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 25, Focusval 768505408.000000, LensPosition 349, H1 1527389056.000000, H2 0.000000, V 9621820.000000, HV 768505408.000000, H1_norm 1822222.750000, H2_norm 0.000000, V_norm 7727.629883, HV_norm 914975.187500
